x	y	new_x	new_y	pixel_x	pixel_y	selected
18	5	17.912	5.017	4928.79	1165.28	1
19	5	18.924	5.022	5223.73	1166.73	1
20	5	19.938	5.035	5519.24	1170.51	1
20	6	19.958	5.998	5525.07	1449.86	1
16	6	15.902	5.996	4343	1449.28	1
17	6	16.87	6.018	4625.11	1455.66	1
13	6	12.997	6.037	3496.38	1461.17	1
15	6	14.964	6.031	4069.63	1459.43	1
14	6	13.944	6.04	3772.37	1462.04	1
19	6	18.909	6.042	5219.35	1462.62	1
18	6	17.903	6.04	4926.17	1462.04	1
10	7	9.875	6.982	2586.51	1735.31	1
11	7	10.874	6.992	2877.65	1738.21	1
20	7	19.973	6.988	5529.44	1737.05	1
16	7	15.913	6.995	4346.21	1739.08	1
19	7	18.911	6.997	5219.94	1739.66	1
9	7	8.965	7.011	2321.3	1743.72	1
15	7	14.954	7.015	4066.72	1744.88	1
14	7	13.948	7.027	3773.53	1748.36	1
17	7	16.878	7.031	4627.44	1749.52	1
12	7	12.061	7.043	3223.59	1753	1
18	7	17.905	7.042	4926.75	1752.71	1
13	7	12.997	7.056	3496.38	1756.77	1
11	8	10.889	7.961	2882.03	2019.3	1
10	8	9.889	7.962	2590.59	2019.59	1
22	8	21.894	7.985	6089.3	2026.27	1
5	8	4.894	8	1134.86	2030.62	1
6	8	5.886	7.999	1423.96	2030.33	1
21	8	20.881	7.989	5794.07	2027.43	1
16	8	15.9	7.991	4342.42	2028.01	1
7	8	6.907	8.012	1721.52	2034.1	1
9	8	8.967	8.008	2321.88	2032.94	1
19	8	18.916	7.995	5221.39	2029.17	1
18	8	17.902	8.001	4925.88	2030.91	1
14	8	13.967	8.007	3779.07	2032.65	1
20	8	19.983	8.002	5532.36	2031.2	1
17	8	16.876	8.006	4626.86	2032.36	1
13	8	12.997	8.035	3496.38	2040.77	1
12	8	12.029	8.044	3214.26	2043.38	1
21	9	20.86	8.932	5787.95	2300.98	1
11	9	10.882	8.96	2879.99	2309.1	1
22	9	21.905	8.963	6092.5	2309.97	1
5	9	4.902	8.959	1137.19	2308.81	1
23	9	22.999	8.991	6411.33	2318.1	1
20	9	19.951	8.975	5523.03	2313.45	1
16	9	15.904	8.973	4343.58	2312.87	1
4	9	3.958	8.976	862.07	2313.74	1
9	9	8.97	8.98	2322.76	2314.9	1
10	9	9.877	8.996	2587.09	2319.55	1
19	9	18.915	8.986	5221.1	2316.64	1
8	9	7.911	8.999	2014.12	2320.42	1
13	9	12.985	9.002	3492.88	2321.29	1
15	9	14.973	8.992	4072.26	2318.39	1
18	9	17.934	8.987	4935.2	2316.93	1
6	9	5.874	8.998	1420.47	2320.13	1
14	9	13.941	9.003	3771.49	2321.58	1
24	9	23.978	8.997	6696.65	2319.84	1
17	9	16.884	9	4629.19	2320.71	1
12	9	12.043	9.012	3218.34	2324.19	1
3	9	2.944	9.003	566.55	2321.58	1
11	10	10.912	9.935	2888.73	2591.94	1
21	10	20.876	9.929	5792.61	2590.2	1
10	10	9.883	9.928	2588.84	2589.91	1
23	10	23.034	9.959	6421.53	2598.9	1
16	10	15.888	9.937	4338.92	2592.52	1
20	10	19.965	9.954	5527.11	2597.45	1
26	10	25.952	9.952	7271.95	2596.87	1
4	10	3.983	9.951	869.36	2596.58	1
24	10	23.98	9.972	6697.23	2602.67	1
25	10	24.958	9.959	6982.26	2598.9	1
19	10	18.916	9.965	5221.39	2600.64	1
5	10	4.898	9.958	1136.02	2598.61	1
7	10	6.908	9.974	1721.81	2603.25	1
9	10	8.978	9.956	2325.09	2598.03	1
17	10	16.894	9.969	4632.11	2601.8	1
22	10	21.9	9.995	6091.04	2609.34	1
15	10	14.966	9.968	4070.22	2601.51	1
14	10	13.965	9.998	3778.49	2610.21	1
6	10	5.888	9.976	1424.55	2603.83	1
18	10	17.917	9.972	4930.25	2602.67	1
13	10	12.997	9.987	3496.38	2607.02	1
12	10	12.029	9.993	3214.26	2608.76	1
3	10	2.946	9.997	567.14	2609.92	1
22	11	21.896	10.928	6089.88	2880	1
10	11	9.899	10.948	2593.5	2885.8	1
27	11	26.907	10.928	7550.27	2880	1
