x	y	new_x	new_y	pixel_x	pixel_y	selected
22	9	21.933	8.912	6096.08	2301.23	1
19	9	18.936	8.927	5223.3	2305.59	1
20	9	19.987	8.934	5529.37	2307.63	1
18	9	17.933	8.949	4931.21	2311.99	1
21	9	20.897	8.946	5794.38	2311.12	1
23	9	23.017	8.971	6411.76	2318.39	1
17	9	16.924	8.987	4637.37	2323.04	1
16	9	15.942	9.038	4351.39	2337.88	1
15	9	14.915	9.057	4052.31	2343.4	1
22	10	21.956	9.897	6102.78	2587.72	1
20	10	19.998	9.919	5532.57	2594.12	1
11	10	10.925	9.92	2890.35	2594.41	1
19	10	18.93	9.926	5221.55	2596.15	1
21	10	20.931	9.93	5804.28	2597.32	1
8	10	7.994	9.933	2036.78	2598.19	1
9	10	8.998	9.926	2329.17	2596.15	1
18	10	17.924	9.928	4928.59	2596.74	1
14	10	13.983	9.96	3780.89	2606.04	1
10	10	9.907	9.943	2593.89	2601.1	1
17	10	16.895	9.953	4628.92	2604.01	1
16	10	15.97	9.946	4359.54	2601.97	1
12	10	12.028	9.975	3211.56	2610.41	1
15	10	14.926	9.962	4055.51	2606.62	1
7	10	6.918	9.965	1723.43	2607.5	1
5	10	4.939	9.966	1147.11	2607.79	1
23	10	23.057	9.983	6423.41	2612.73	1
24	10	23.99	9.994	6695.12	2615.93	1
13	10	12.99	9.984	3491.71	2613.02	1
6	10	5.911	9.989	1430.18	2614.48	1
22	11	21.926	10.88	6094.04	2873.63	1
30	11	29.93	10.901	8424.96	2879.73	1
16	11	15.977	10.906	4361.58	2881.19	1
20	11	20.006	10.906	5534.9	2881.19	1
21	11	20.917	10.911	5800.2	2882.64	1
29	11	28.931	10.905	8134.03	2880.9	1
8	11	7.915	10.925	2013.78	2886.72	1
9	11	8.996	10.918	2328.59	2884.68	1
28	11	27.929	10.909	7842.23	2882.06	1
31	11	31.002	10.912	8737.14	2882.93	1
10	11	9.9	10.936	2591.85	2889.91	1
19	11	18.928	10.932	5220.97	2888.75	1
5	11	4.942	10.94	1147.98	2891.08	1
17	11	16.912	10.932	4633.87	2888.75	1
25	11	24.997	10.923	6988.38	2886.13	1
27	11	26.952	10.924	7557.71	2886.42	1
18	11	17.928	10.936	4929.75	2889.91	1
23	11	23.045	10.95	6419.92	2893.99	1
24	11	23.997	10.939	6697.16	2890.79	1
6	11	5.878	10.951	1420.57	2894.28	1
15	11	14.931	10.946	4056.97	2892.82	1
26	11	25.936	10.939	7261.83	2890.79	1
14	11	13.963	10.955	3775.07	2895.44	1
7	11	6.893	10.97	1716.15	2899.8	1
12	11	12.019	10.99	3208.94	2905.62	1
13	11	12.995	10.974	3493.17	2900.97	1
22	12	21.96	11.891	6103.95	3167.68	1
31	12	31.016	11.878	8741.22	3163.9	1
26	12	25.922	11.897	7257.75	3169.42	1
11	12	10.921	11.906	2889.18	3172.04	1
20	12	19.994	11.889	5531.41	3167.1	1
27	12	26.955	11.903	7558.58	3171.17	1
30	12	29.946	11.903	8429.62	3171.17	1
9	12	8.993	11.911	2327.71	3173.5	1
28	12	27.932	11.906	7843.1	3172.04	1
10	12	9.912	11.926	2595.34	3177.86	1
25	12	24.974	11.917	6981.68	3175.24	1
29	12	28.924	11.912	8131.99	3173.79	1
19	12	18.921	11.912	5218.93	3173.79	1
8	12	7.929	11.926	2017.85	3177.86	1
21	12	20.932	11.925	5804.57	3177.57	1
16	12	15.96	11.923	4356.63	3176.99	1
18	12	17.932	11.928	4930.92	3178.44	1
15	12	14.919	11.932	4053.47	3179.6	1
23	12	23.031	11.954	6415.84	3186	1
14	12	13.965	11.947	3775.65	3183.97	1
7	12	6.907	11.954	1720.23	3186	1
17	12	16.923	11.946	4637.08	3183.68	1
5	12	4.947	11.961	1149.44	3188.04	1
6	12	5.915	11.952	1431.34	3185.42	1
24	12	24.004	11.965	6699.2	3189.2	1
12	12	12.003	11.989	3204.28	3196.18	1
13	12	13.008	11.985	3496.95	3195.02	1
22	13	21.93	12.878	6095.21	3454.75	1
31	13	31.01	12.869	8739.47	3452.13	1
11	13	10.943	12.909	2895.59	3463.77	1
21	13	20.922	12.909	5801.66	3463.77	1
28	13	27.932	12.894	7843.1	3459.4	1
29	13	28.944	12.906	8137.82	3462.9	1
30	13	29.948	12.904	8430.2	3462.31	1
20	13	20.008	12.912	5535.49	3464.64	1
14	13	13.947	12.927	3770.41	3469	1
27	13	26.948	12.907	7556.54	3463.19	1
16	13	15.975	12.919	4361	3466.68	1
19	13	18.952	12.927	5227.96	3469	1
9	13	8.991	12.925	2327.13	3468.42	1
10	13	9.917	12.931	2596.8	3470.17	1
17	13	16.91	12.924	4633.29	3468.13	1
26	13	25.937	12.924	7262.12	3468.13	1
18	13	17.918	12.926	4926.84	3468.71	1
5	13	4.949	12.934	1150.02	3471.04	1
6	13	5.908	12.944	1429.3	3473.95	1
8	13	7.935	12.942	2019.6	3473.37	1
15	13	14.938	12.947	4059.01	3474.82	1
23	13	23.032	12.958	6416.13	3478.02	1
25	13	24.981	12.946	6983.72	3474.53	1
12	13	12.036	12.973	3213.89	3482.38	1
24	13	24.011	12.961	6701.23	3478.89	1
7	13	6.944	12.957	1731	3477.73	1
13	13	13.002	12.972	3495.21	3482.09	1
25	14	25.11	13.809	7021.28	3725.54	1
22	14	21.94	13.873	6098.12	3744.15	1
31	14	31.015	13.883	8740.93	3747.06	1
20	14	20.009	13.889	5535.78	3748.8	1
19	14	18.948	13.894	5226.79	3750.26	1
11	14	10.937	13.912	2893.84	3755.49	1
30	14	29.955	13.889	8432.24	3748.8	1
21	14	20.92	13.902	5801.08	3752.58	1
16	14	15.962	13.903	4357.21	3752.88	1
23	14	23.028	13.937	6414.97	3762.76	1
27	14	26.975	13.896	7564.41	3750.84	1
29	14	28.917	13.904	8129.95	3753.17	1
26	14	25.932	13.916	7260.67	3756.66	1
28	14	27.918	13.913	7839.03	3755.78	1
9	14	9.013	13.923	2333.54	3758.69	1
17	14	16.922	13.922	4636.78	3758.4	1
5	14	4.966	13.938	1154.97	3763.06	1
10	14	9.909	13.94	2594.47	3763.64	1
15	14	14.927	13.931	4055.8	3761.02	1
7	14	6.916	13.944	1722.85	3764.8	1
14	14	13.98	13.942	3780.02	3764.22	1
18	14	17.902	13.967	4922.18	3771.49	1
6	14	5.918	13.944	1432.21	3764.8	1
12	14	12.028	13.963	3211.56	3770.33	1
8	14	7.936	13.962	2019.89	3770.04	1
13	14	13.003	13.991	3495.5	3778.47	1
31	15	31.018	14.862	8741.8	4031.8	1
22	15	21.941	14.884	6098.41	4038.2	1
11	15	10.949	14.906	2897.34	4044.6	1
30	15	29.946	14.889	8429.62	4039.66	1
27	15	26.96	14.892	7560.04	4040.53	1
9	15	8.999	14.901	2329.46	4043.15	1
20	15	20.017	14.897	5538.11	4041.98	1
19	15	18.948	14.903	5226.79	4043.73	1
25	15	24.986	14.905	6985.17	4044.31	1
10	15	9.913	14.918	2595.63	4048.09	1
29	15	28.95	14.906	8139.56	4044.6	1
26	15	25.954	14.907	7267.07	4044.89	1
21	15	20.918	14.926	5800.5	4050.42	1
28	15	27.938	14.919	7844.85	4048.38	1
17	15	16.937	14.922	4641.15	4049.25	1
18	15	17.93	14.931	4930.33	4051.87	1
15	15	14.934	14.937	4057.84	4053.62	1
16	15	15.962	14.932	4357.21	4052.16	1
23	15	23.013	14.96	6410.6	4060.31	1
5	15	4.947	14.948	1149.44	4056.82	1
8	15	7.937	14.952	2020.18	4057.98	1
14	15	13.97	14.956	3777.11	4059.14	1
6	15	5.919	14.975	1432.51	4064.67	1
12	15	12.025	14.983	3210.69	4067	1
7	15	6.941	14.974	1730.13	4064.38	1
13	15	13.017	14.983	3499.58	4067	1
22	16	21.975	15.886	6108.31	4329.64	1
11	16	10.933	15.901	2892.68	4334	1
18	16	17.941	15.924	4933.54	4340.69	1
30	16	29.953	15.906	8431.66	4335.45	1
29	16	28.945	15.908	8138.11	4336.04	1
21	16	20.921	15.922	5801.37	4340.11	1
19	16	18.949	15.915	5227.09	4338.07	1
9	16	9.023	15.926	2336.45	4341.27	1
20	16	20.015	15.919	5537.52	4339.24	1
10	16	9.911	15.938	2595.05	4344.76	1
27	16	26.98	15.932	7565.86	4343.02	1
16	16	15.963	15.926	4357.51	4341.27	1
17	16	16.918	15.937	4635.62	4344.47	1
25	16	24.99	15.938	6986.34	4344.76	1
23	16	23.024	15.956	6413.8	4350	1
5	16	4.853	15.952	1122.07	4348.83	1
24	16	24.017	15.953	6702.98	4349.12	1
26	16	25.951	15.947	7266.2	4347.38	1
15	16	14.944	15.948	4060.75	4347.67	1
28	16	27.926	15.963	7841.36	4352.03	1
7	16	6.917	15.957	1723.14	4350.29	1
8	16	7.941	15.958	2021.35	4350.58	1
6	16	5.933	15.96	1436.58	4351.16	1
13	16	13.003	15.976	3495.5	4355.81	1
14	16	14.002	15.97	3786.43	4354.07	1
12	16	12.02	15.996	3209.23	4361.63	1
11	17	10.956	16.914	2899.37	4628.63	1
22	17	21.952	16.903	6101.62	4625.43	1
30	17	29.96	16.894	8433.69	4622.82	1
27	17	26.971	16.899	7563.24	4624.27	1
29	17	28.954	16.917	8140.73	4629.51	1
9	17	9.013	16.917	2333.54	4629.51	1
10	17	9.918	16.919	2597.09	4630.09	1
20	17	20.028	16.915	5541.31	4628.92	1
28	17	27.94	16.92	7845.43	4630.38	1
19	17	18.937	16.925	5223.59	4631.83	1
25	17	24.99	16.919	6986.34	4630.09	1
16	17	15.968	16.942	4358.96	4636.78	1
18	17	17.946	16.941	4934.99	4636.49	1
17	17	16.939	16.944	4641.74	4637.36	1
21	17	20.936	16.946	5805.74	4637.94	1
26	17	25.948	16.934	7265.33	4634.45	1
23	17	23.034	16.964	6416.71	4643.18	1
5	17	4.959	16.95	1152.94	4639.1	1
15	17	14.933	16.956	4057.55	4640.85	1
6	17	5.913	16.955	1430.76	4640.56	1
8	17	7.943	16.968	2021.93	4644.34	1
12	17	12.037	16.982	3214.18	4648.41	1
14	17	13.995	16.973	3784.39	4645.79	1
7	17	6.936	16.971	1728.67	4645.21	1
24	17	23.995	16.967	6696.58	4644.05	1
13	17	12.974	17.044	3487.05	4666.44	1
21	18	20.951	17.88	5810.11	4909.6	1
22	18	21.954	17.88	6102.2	4909.6	1
11	18	10.968	17.916	2902.87	4920.07	1
20	18	20.026	17.898	5540.73	4914.83	1
29	18	28.962	17.909	8143.06	4918.03	1
19	18	18.952	17.925	5227.96	4922.69	1
27	18	26.977	17.917	7564.99	4920.36	1
30	18	29.956	17.928	8432.53	4923.56	1
25	18	25.012	17.929	6992.74	4923.85	1
28	18	27.935	17.927	7843.98	4923.27	1
8	18	7.954	17.94	2025.14	4927.05	1
10	18	9.931	17.95	2600.87	4929.96	1
9	18	9.003	17.936	2330.62	4925.89	1
16	18	15.979	17.931	4362.17	4924.43	1
17	18	16.927	17.933	4638.24	4925.01	1
26	18	25.95	17.937	7265.91	4926.18	1
15	18	14.955	17.939	4063.96	4926.76	1
23	18	23.036	17.964	6417.3	4934.03	1
14	18	13.985	17.951	3781.48	4930.25	1
6	18	5.932	17.957	1436.29	4931.99	1
24	18	24.017	17.956	6702.98	4931.7	1
5	18	4.96	17.957	1153.23	4931.99	1
7	18	6.943	17.971	1730.71	4936.07	1
13	18	13.017	17.979	3499.58	4938.39	1
12	18	12.028	18.005	3211.56	4945.95	1
22	19	21.964	18.887	6105.11	5202.49	1
11	19	10.965	18.904	2901.99	5207.43	1
30	19	29.969	18.907	8436.32	5208.3	1
21	19	20.95	18.916	5809.81	5210.92	1
9	19	9.016	18.912	2334.41	5209.76	1
29	19	28.947	18.908	8138.69	5208.59	1
27	19	26.975	18.913	7564.41	5210.05	1
8	19	7.943	18.912	2021.93	5209.76	1
20	19	20.029	18.919	5541.6	5211.79	1
28	19	27.968	18.92	7853.59	5212.08	1
7	19	6.931	18.932	1727.22	5215.57	1
17	19	16.946	18.929	4643.77	5214.7	1
19	19	18.956	18.939	5229.12	5217.61	1
18	19	17.94	18.935	4933.25	5216.45	1
16	19	15.98	18.933	4362.46	5215.87	1
26	19	25.952	18.936	7266.49	5216.74	1
24	19	24.028	18.951	6706.19	5221.1	1
6	19	5.929	18.945	1435.42	5219.36	1
23	19	23.049	18.964	6421.08	5224.88	1
5	19	4.986	18.958	1160.8	5223.14	1
25	19	24.99	18.943	6986.34	5218.77	1
15	19	14.944	18.958	4060.75	5223.14	1
12	19	12.082	18.987	3227.29	5231.57	1
13	19	13.016	18.982	3499.28	5230.12	1
14	19	14.007	18.977	3787.88	5228.66	1
10	19	9.977	18.999	2614.27	5235.06	1
22	20	21.965	19.899	6105.4	5496.83	1
18	20	17.959	19.909	4938.78	5499.74	1
20	20	20.029	19.915	5541.6	5501.48	1
29	20	28.944	19.905	8137.82	5498.57	1
11	20	10.906	19.92	2884.81	5502.94	1
27	20	26.983	19.906	7566.74	5498.87	1
28	20	27.968	19.909	7853.59	5499.74	1
30	20	29.981	19.915	8439.81	5501.48	1
19	20	18.968	19.931	5232.62	5506.14	1
16	20	15.997	19.932	4367.41	5506.43	1
21	20	20.946	19.935	5808.65	5507.3	1
17	20	16.949	19.937	4644.65	5507.88	1
26	20	25.948	19.937	7265.33	5507.88	1
10	20	9.951	19.954	2606.7	5512.83	1
12	20	12.064	19.962	3222.04	5515.15	1
25	20	25.003	19.945	6990.12	5510.21	1
7	20	6.949	19.955	1732.46	5513.12	1
8	20	7.943	19.955	2021.93	5513.12	1
6	20	5.984	19.953	1451.43	5512.54	1
23	20	23.075	19.963	6428.65	5515.44	1
14	20	13.984	19.968	3781.18	5516.9	1
24	20	24.044	19.969	6710.84	5517.19	1
13	20	13.028	19.976	3502.78	5519.23	1
15	20	14.959	19.974	4065.12	5518.64	1
9	20	9.019	19.993	2335.28	5524.17	1
19	21	18.968	20.908	5232.62	5790.3	1
11	21	10.963	20.928	2901.41	5796.12	1
20	21	20.032	20.915	5542.48	5792.34	1
22	21	21.959	20.922	6103.65	5794.37	1
30	21	29.965	20.914	8435.15	5792.05	1
28	21	27.975	20.92	7855.63	5793.79	1
18	21	17.954	20.93	4937.32	5796.7	1
21	21	20.949	20.936	5809.52	5798.44	1
25	21	25	20.926	6989.25	5795.54	1
29	21	28.957	20.932	8141.6	5797.28	1
27	21	26.997	20.934	7570.81	5797.86	1
9	21	9.037	20.945	2340.53	5801.06	1
8	21	7.958	20.953	2026.3	5803.39	1
16	21	15.989	20.956	4365.08	5804.26	1
23	21	23.063	20.956	6425.16	5804.26	1
24	21	24.027	20.951	6705.89	5802.81	1
15	21	14.967	20.961	4067.45	5805.72	1
10	21	9.946	20.966	2605.24	5807.17	1
17	21	16.943	20.965	4642.9	5806.88	1
26	21	25.945	20.952	7264.45	5803.1	1
6	21	5.959	20.971	1444.15	5808.62	1
14	21	13.997	20.971	3784.97	5808.62	1
13	21	13.019	20.991	3500.16	5814.44	1
7	21	6.938	20.973	1729.26	5809.21	1
12	21	12.056	20.988	3219.71	5813.57	1
11	22	10.976	21.896	2905.2	6077.66	1
22	22	21.985	21.894	6111.23	6077.08	1
20	22	20.032	21.9	5542.48	6078.83	1
18	22	17.952	21.936	4936.74	6089.3	1
29	22	28.969	21.91	8145.1	6081.74	1
19	22	18.959	21.933	5230	6088.42	1
21	22	20.952	21.931	5810.4	6087.84	1
9	22	9.017	21.936	2334.7	6089.3	1
16	22	15.987	21.935	4364.5	6089.01	1
25	22	25.014	21.926	6993.33	6086.39	1
28	22	27.96	21.927	7851.26	6086.68	1
17	22	16.949	21.947	4644.65	6092.5	1
26	22	25.975	21.931	7273.19	6087.84	1
8	22	7.972	21.944	2030.38	6091.62	1
12	22	12.041	21.975	3215.35	6100.64	1
14	22	13.98	21.953	3780.02	6094.24	1
6	22	5.946	21.953	1440.37	6094.24	1
10	22	9.936	21.96	2602.33	6096.28	1
15	22	14.954	21.951	4063.67	6093.66	1
7	22	6.944	21.957	1731	6095.41	1
23	22	23.04	21.959	6418.46	6095.99	1
27	22	26.988	21.947	7568.19	6092.5	1
13	22	13.015	21.984	3498.99	6103.26	1
27	23	26.99	22.881	7568.78	6364.15	1
11	23	10.968	22.929	2902.87	6378.11	1
22	23	21.963	22.915	6104.82	6374.04	1
19	23	18.973	22.914	5234.07	6373.75	1
20	23	20.021	22.911	5539.27	6372.88	1
28	23	27.961	22.898	7851.55	6369.1	1
21	23	20.95	22.925	5809.81	6376.95	1
29	23	28.955	22.914	8141.02	6373.75	1
10	23	9.951	22.951	2606.7	6384.51	1
16	23	15.964	22.931	4357.8	6378.7	1
25	23	25.012	22.936	6992.74	6380.15	1
23	23	23.039	22.966	6418.17	6388.88	1
26	23	25.964	22.936	7269.98	6380.15	1
14	23	14.006	22.958	3787.59	6386.55	1
15	23	14.961	22.953	4065.7	6385.09	1
18	23	17.962	22.966	4939.65	6388.88	1
17	23	16.951	22.958	4645.23	6386.55	1
12	23	12.049	22.981	3217.68	6393.24	1
24	23	24.042	22.964	6710.26	6388.29	1
13	23	13.017	22.977	3499.58	6392.08	1
22	24	21.968	23.899	6106.27	6660.24	1
16	24	16.004	23.951	4369.45	6675.37	1
20	24	20.059	23.923	5550.34	6667.22	1
24	24	24.039	23.947	6709.39	6674.2	1
21	24	20.955	23.941	5811.27	6672.46	1
19	24	18.966	23.951	5232.04	6675.37	1
26	24	25.975	23.941	7273.19	6672.46	1
27	24	26.993	23.94	7569.65	6672.17	1
28	24	27.955	23.948	7849.8	6674.49	1
18	24	17.938	23.959	4932.66	6677.69	1
17	24	16.949	23.96	4644.65	6677.98	1
25	24	25.024	23.953	6996.24	6675.95	1
15	24	14.961	23.97	4065.7	6680.89	1
23	24	23.057	23.976	6423.41	6682.64	1
14	24	14	23.97	3785.84	6680.89	1
13	24	13.044	24.004	3507.44	6690.78	1
12	24	12.08	24.011	3226.7	6692.82	1
22	25	21.994	24.907	6113.85	6953.42	1
27	25	26.978	24.906	7565.28	6953.13	1
20	25	20.031	24.912	5542.18	6954.88	1
29	25	28.964	24.925	8143.64	6958.66	1
19	25	18.984	24.922	5237.28	6957.78	1
28	25	27.954	24.912	7849.51	6954.88	1
21	25	20.955	24.944	5811.27	6964.18	1
16	25	15.995	24.942	4366.83	6963.6	1
15	25	14.975	24.945	4069.78	6964.47	1
25	25	25.001	24.951	6989.54	6966.22	1
26	25	25.982	24.945	7275.23	6964.47	1
18	25	17.962	24.949	4939.65	6965.64	1
14	25	14.01	24.956	3788.76	6967.67	1
17	25	16.954	24.951	4646.1	6966.22	1
23	25	23.057	24.981	6423.41	6974.94	1
24	25	24.037	24.963	6708.81	6969.71	1
12	25	12.074	24.994	3224.96	6978.73	1
13	25	13.029	24.995	3503.07	6979.02	1
11	26	10.97	25.914	2903.45	7246.31	1
22	26	21.924	25.898	6093.46	7241.66	1
20	26	20.041	25.917	5545.1	7247.18	1
21	26	20.963	25.912	5813.6	7245.73	1
9	26	9.054	25.942	2345.48	7254.45	1
10	26	9.939	25.959	2603.2	7259.4	1
28	26	27.947	25.925	7847.47	7249.51	1
16	26	16.001	25.952	4368.57	7257.36	1
15	26	14.962	25.968	4066	7262.02	1
6	26	5.94	25.965	1438.62	7261.14	1
27	26	27.009	25.936	7574.31	7252.71	1
19	26	18.973	25.965	5234.07	7261.14	1
23	26	23.073	25.967	6428.07	7261.73	1
5	26	4.991	25.969	1162.25	7262.31	1
17	26	16.991	25.961	4656.88	7259.98	1
7	26	6.95	25.973	1732.75	7263.47	1
18	26	17.971	25.962	4942.27	7260.27	1
25	26	25.01	25.967	6992.16	7261.73	1
26	26	25.986	25.963	7276.39	7260.56	1
24	26	24.044	25.985	6710.84	7266.96	1
12	26	12.058	26.012	3220.3	7274.81	1
13	26	13.045	26.005	3507.73	7272.78	1
4	26	3.935	26.01	854.73	7274.23	1
14	26	13.986	26.053	3781.77	7286.74	1
11	27	11.006	26.923	2913.93	7539.78	1
22	27	21.994	26.932	6113.85	7542.4	1
20	27	20.035	26.926	5543.35	7540.65	1
