x	y	new_x	new_y	pixel_x	pixel_y	selected
5	9	4.986	9.05	1158.06	2348.23	1
7	9	6.995	9.056	1741.73	2349.98	1
6	9	5.843	9.066	1407.04	2352.9	1
4	9	3.944	9.09	855.32	2359.9	1
8	9	7.909	9.099	2007.28	2362.53	1
11	10	10.858	10.004	2864.06	2626.52	1
8	10	7.938	10.065	2015.71	2644.31	1
9	10	8.996	10.072	2323.09	2646.36	1
12	10	12.112	10.086	3228.38	2650.44	1
7	10	6.922	10.088	1720.53	2651.02	1
13	10	13.053	10.096	3501.77	2653.36	1
5	10	4.943	10.104	1145.56	2655.69	1
14	10	13.973	10.103	3769.06	2655.4	1
4	10	3.923	10.118	849.22	2659.77	1
6	10	5.943	10.125	1436.1	2661.82	1
10	10	9.963	10.124	2604.03	2661.52	1
11	11	10.943	10.996	2888.75	2915.89	1
9	11	9.037	11.018	2335	2922.31	1
20	11	20.026	11.018	5527.65	2922.31	1
7	11	6.999	11.114	1742.9	2950.31	1
14	11	13.972	11.075	3768.77	2938.94	1
16	11	15.958	11.073	4345.77	2938.35	1
18	11	17.968	11.066	4929.73	2936.31	1
12	11	12.079	11.094	3218.8	2944.48	1
17	11	16.94	11.067	4631.07	2936.6	1
19	11	18.983	11.066	5224.62	2936.31	1
4	11	4.01	11.09	874.5	2943.31	1
5	11	4.966	11.097	1152.25	2945.35	1
15	11	15.048	11.088	4081.38	2942.73	1
13	11	13.076	11.093	3508.46	2944.19	1
8	11	7.925	11.157	2011.93	2962.86	1
10	11	9.863	11.154	2574.98	2961.98	1
6	11	5.873	11.201	1415.76	2975.69	1
11	12	10.893	12.016	2874.23	3213.43	1
8	12	8.04	12.035	2045.34	3218.97	1
20	12	20.03	12.017	5528.81	3213.72	1
18	12	18.063	12.05	4957.33	3223.35	1
15	12	15.029	12.072	4075.86	3229.77	1
6	12	5.907	12.084	1425.64	3233.27	1
7	12	6.956	12.082	1730.4	3232.68	1
16	12	16.01	12.072	4360.87	3229.77	1
17	12	16.889	12.069	4616.25	3228.89	1
12	12	12.056	12.095	3212.11	3236.48	1
14	12	14.013	12.091	3780.68	3235.31	1
19	12	18.952	12.08	5215.62	3232.1	1
5	12	4.992	12.096	1159.8	3236.77	1
9	12	9.02	12.129	2330.06	3246.39	1
13	12	13.096	12.092	3514.27	3235.6	1
4	12	3.996	12.107	870.43	3239.98	1
10	12	9.905	12.123	2587.18	3244.64	1
21	12	20.92	12.126	5787.38	3245.52	1
9	13	9.025	13.027	2331.51	3508.35	1
20	13	20.022	13.03	5526.49	3509.22	1
14	13	13.999	13.06	3776.62	3517.97	1
11	13	10.93	13.077	2884.98	3522.93	1
18	13	17.924	13.05	4916.95	3515.06	1
21	13	20.982	13.068	5805.4	3520.31	1
19	13	19.05	13.062	5244.09	3518.56	1
5	13	4.956	13.084	1149.34	3524.97	1
6	13	5.932	13.087	1432.9	3525.85	1
12	13	12.121	13.099	3231	3529.35	1
8	13	7.98	13.077	2027.91	3522.93	1
10	13	9.906	13.075	2587.47	3522.35	1
4	13	4.006	13.093	873.34	3527.6	1
7	13	6.93	13.096	1722.85	3528.47	1
16	13	15.962	13.087	4346.93	3525.85	1
