x	y	new_x	new_y	pixel_x	pixel_y	selected
11	5	10.925	5.02	2898.1	1171.36	1
12	5	11.99	5.055	3209.08	1181.56	1
13	5	13.002	5.062	3504.58	1183.6	1
14	5	13.954	5.052	3782.57	1180.68	1
15	5	14.954	5.064	4074.57	1184.18	1
11	6	10.882	6.001	2885.54	1457.2	1
10	6	9.877	6.03	2592.08	1465.65	1
16	6	15.888	6.031	4347.3	1465.94	1
15	6	14.952	6.04	4073.98	1468.57	1
14	6	13.938	6.056	3777.9	1473.23	1
12	6	11.989	6.079	3208.79	1479.93	1
13	6	12.999	6.066	3503.71	1476.14	1
10	7	9.883	6.975	2593.84	1741.01	1
11	7	10.881	7.002	2885.25	1748.88	1
16	7	15.894	6.998	4349.05	1747.71	1
14	7	13.956	7.006	3783.15	1750.04	1
9	7	8.974	7.018	2328.41	1753.54	1
15	7	14.958	7.027	4075.74	1756.16	1
17	7	16.873	7.025	4634.92	1755.58	1
12	7	12.023	7.036	3218.72	1758.78	1
13	7	12.982	7.03	3498.74	1757.04	1
10	8	9.899	7.962	2598.51	2028.6	1
11	8	10.896	7.975	2889.63	2032.39	1
19	8	18.907	7.974	5228.84	2032.1	1
16	8	15.884	7.98	4346.13	2033.85	1
14	8	13.944	7.992	3779.65	2037.35	1
9	8	8.984	8.001	2331.33	2039.97	1
13	8	12.982	8.017	3498.74	2044.63	1
12	8	12.016	8.028	3216.67	2047.84	1
17	8	16.873	8.013	4634.92	2043.46	1
18	8	17.89	8.026	4931.88	2047.25	1
11	9	10.901	8.961	2891.09	2319.69	1
16	9	15.887	8.977	4347	2324.36	1
17	9	16.887	8.966	4639	2321.15	1
20	9	19.949	8.976	5533.11	2324.07	1
8	9	7.918	8.976	2020.06	2324.07	1
9	9	8.967	8.981	2326.36	2325.52	1
10	9	9.906	8.979	2600.55	2324.94	1
18	9	17.902	8.985	4935.38	2326.69	1
19	9	18.907	8.986	5228.84	2326.98	1
15	9	14.946	8.993	4072.23	2329.02	1
12	9	12.024	9.008	3219.01	2333.39	1
14	9	13.958	9.002	3783.74	2331.64	1
13	9	13.017	9.008	3508.96	2333.39	1
11	10	10.907	9.938	2892.84	2604.38	1
21	10	20.876	9.935	5803.79	2603.5	1
10	10	9.898	9.929	2598.22	2601.75	1
17	10	16.876	9.937	4635.79	2604.08	1
14	10	13.983	9.952	3791.04	2608.45	1
19	10	18.924	9.949	5233.81	2607.58	1
20	10	19.953	9.959	5534.28	2610.49	1
9	10	8.971	9.95	2327.53	2607.87	1
16	10	15.889	9.946	4347.59	2606.71	1
12	10	12.015	9.973	3216.38	2614.57	1
8	10	7.904	9.962	2015.97	2611.37	1
15	10	14.97	9.958	4079.24	2610.2	1
18	10	17.898	9.963	4934.22	2611.66	1
6	10	5.904	9.993	1431.97	2620.4	1
7	10	6.906	9.989	1724.55	2619.24	1
