x	y	new_x	new_y	pixel_x	pixel_y	selected
9	7	9.012	6.957	2321.48	1734.54	1
8	7	7.958	7.007	2016.08	1749.1	1
10	7	9.903	7.051	2579.64	1761.91	1
22	8	21.951	7.928	6070.55	2017.27	1
25	8	25.07	7.955	6974.28	2025.13	1
9	8	9.015	7.968	2322.35	2028.92	1
24	8	24.218	7.964	6727.42	2027.75	1
23	8	23.103	7.989	6404.34	2035.03	1
8	8	8.033	7.968	2037.81	2028.92	1
18	8	18.035	7.981	4935.89	2032.7	1
20	8	20.119	7.997	5539.73	2037.36	1
17	8	16.955	7.984	4622.96	2033.58	1
10	8	9.958	7.998	2595.58	2037.65	1
19	8	18.994	8.007	5213.76	2040.27	1
12	8	12.124	8.015	3223.18	2042.6	1
15	8	15.019	8.017	4062.01	2043.19	1
16	8	16.037	8.005	4356.97	2039.69	1
14	8	14.084	8.017	3791.09	2043.19	1
13	8	13.062	8.019	3494.96	2043.77	1
21	8	21.02	8.086	5800.8	2063.28	1
17	9	17.008	8.976	4638.32	2322.42	1
18	9	17.987	8.959	4921.98	2317.47	1
26	9	26.05	8.979	7258.24	2323.3	1
11	9	10.925	8.971	2875.77	2320.97	1
20	9	20.084	9.009	5529.59	2332.03	1
8	9	7.999	9.015	2027.96	2333.78	1
23	9	23.166	9.033	6422.6	2339.02	1
25	9	25.124	9.021	6989.93	2335.53	1
9	9	8.994	9.035	2316.26	2339.6	1
19	9	19.04	9.035	5227.09	2339.6	1
12	9	12.096	9.08	3215.07	2352.71	1
13	9	13.103	9.095	3506.84	2357.07	1
15	9	15.059	9.104	4073.6	2359.69	1
16	9	15.99	9.092	4343.35	2356.2	1
10	9	9.926	9.087	2586.31	2354.74	1
14	9	14.031	9.104	3775.73	2359.69	1
24	9	24.17	9.12	6713.51	2364.35	1
22	10	21.991	9.903	6082.14	2592.34	1
11	10	10.906	9.956	2870.26	2607.78	1
23	10	23.166	9.999	6422.6	2620.3	1
18	10	18.005	10.003	4927.2	2621.46	1
20	10	20.044	10	5518	2620.59	1
8	10	8.001	10.004	2028.54	2621.75	1
12	10	12.086	10.009	3212.17	2623.21	1
25	10	25.033	9.999	6963.56	2620.3	1
16	10	15.975	9.997	4339.01	2619.71	1
17	10	16.997	10.007	4635.13	2622.63	1
24	10	24.184	10.007	6717.56	2622.63	1
15	10	15.096	10.02	4084.32	2626.41	1
13	10	13.138	10.021	3516.99	2626.7	1
19	10	19.066	10.023	5234.62	2627.29	1
9	10	8.993	10.038	2315.97	2631.65	1
10	10	9.959	10.057	2595.87	2637.19	1
21	10	20.984	10.044	5790.36	2633.4	1
14	10	14.006	10.058	3768.49	2637.48	1
22	11	22.028	10.913	6092.86	2886.43	1
20	11	20.077	10.925	5527.56	2889.93	1
12	11	12.08	10.986	3210.43	2907.69	1
21	11	20.929	10.978	5774.43	2905.36	1
17	11	16.992	10.989	4633.68	2908.56	1
19	11	19.038	10.988	5226.51	2908.27	1
23	11	23.184	10.997	6427.81	2910.89	1
18	11	18.023	11.006	4932.41	2913.51	1
11	11	10.946	11.011	2881.85	2914.97	1
16	11	15.997	11.004	4345.38	2912.93	1
24	11	24.139	11.009	6704.53	2914.39	1
15	11	15.082	11.015	4080.26	2916.13	1
13	11	13.117	11.021	3510.9	2917.88	1
25	11	25.113	11.005	6986.74	2913.22	1
9	11	9.032	11.042	2327.27	2923.99	1
14	11	14.011	11.036	3769.94	2922.25	1
10	11	9.876	11.069	2571.82	2931.86	1
22	12	21.967	11.936	6075.19	3184.31	1
11	12	10.903	11.921	2869.39	3179.94	1
17	12	17.019	11.978	4641.51	3196.54	1
16	12	16.012	11.989	4349.73	3199.74	1
18	12	17.989	11.994	4922.56	3201.19	1
23	12	23.127	11.995	6411.3	3201.49	1
25	12	25.035	11.997	6964.14	3202.07	1
12	12	12.126	12.016	3223.76	3207.6	1
14	12	14.087	11.998	3791.96	3202.36	1
20	12	20.08	12.008	5528.43	3205.27	1
15	12	15.076	12.009	4078.52	3205.56	1
13	12	13.054	12.013	3492.65	3206.73	1
9	12	9.047	12.024	2331.62	3209.93	1
19	12	19.099	12.016	5244.19	3207.6	1
21	12	21.023	12.024	5801.66	3209.93	1
10	12	9.947	12.054	2592.39	3218.66	1
11	13	10.941	12.942	2880.4	3477.23	1
22	13	22.016	12.938	6089.39	3476.06	1
23	13	23.197	12.992	6431.58	3491.79	1
20	13	20.091	12.96	5531.62	3482.47	1
9	13	8.985	12.983	2313.65	3489.17	1
17	13	17.004	12.977	4637.16	3487.42	1
21	13	21.006	12.987	5796.74	3490.33	1
18	13	17.994	12.991	4924.01	3491.5	1
24	13	24.184	12.984	6717.56	3489.46	1
25	13	25.125	12.994	6990.22	3492.37	1
10	13	9.996	12.992	2606.59	3491.79	1
19	13	19.048	13.002	5229.41	3494.7	1
16	13	16.001	13.004	4346.54	3495.28	1
12	13	12.082	13.027	3211.01	3501.98	1
15	13	15.079	13.023	4079.39	3500.81	1
8	13	8.001	13.009	2028.54	3496.74	1
14	13	14.034	13.04	3776.6	3505.76	1
13	13	13.132	13.046	3515.25	3507.51	1
22	14	22.008	13.883	6087.07	3751.23	1
20	14	20.099	13.903	5533.94	3757.05	1
11	14	10.941	13.948	2880.4	3770.15	1
24	14	24.191	14.002	6719.59	3785.88	1
18	14	18.025	13.983	4932.99	3780.34	1
15	14	15.05	13.993	4070.99	3783.26	1
14	14	14.066	14.004	3785.87	3786.46	1
23	14	23.147	14.006	6417.09	3787.04	1
16	14	16.049	14.006	4360.45	3787.04	1
17	14	17.048	14.019	4649.91	3790.83	1
25	14	25.101	14.022	6983.26	3791.7	1
21	14	20.994	14.033	5793.26	3794.9	1
19	14	19.046	14.029	5228.83	3793.74	1
9	14	9.004	14.046	2319.16	3798.69	1
8	14	8.033	14.052	2037.81	3800.44	1
10	14	9.924	14.057	2585.73	3801.89	1
12	14	12.115	14.12	3220.57	3820.24	1
13	14	13.115	14.108	3510.32	3816.74	1
11	15	10.94	14.946	2880.11	4060.75	1
22	15	22.048	14.97	6098.66	4067.74	1
15	15	15.069	14.998	4076.49	4075.89	1
23	15	23.199	15.011	6432.16	4079.67	1
12	15	12.123	15.004	3222.89	4077.64	1
24	15	24.147	15.016	6706.84	4081.13	1
9	15	9.02	15.021	2323.8	4082.59	1
17	15	16.978	15.012	4629.63	4079.96	1
20	15	20.112	15.029	5537.7	4084.91	1
13	15	13.126	15.017	3513.51	4081.42	1
25	15	25.168	15.024	7002.68	4083.46	1
14	15	14.061	15.027	3784.42	4084.33	1
16	15	16.029	15.026	4354.65	4084.04	1
18	15	18.061	15.053	4943.42	4091.9	1
10	15	9.989	15.044	2604.56	4089.28	1
19	15	19.046	15.072	5228.83	4097.44	1
21	15	20.966	15.071	5785.15	4097.14	1
22	16	21.999	15.911	6084.46	4341.73	1
20	16	20.097	15.945	5533.36	4351.63	1
11	16	10.96	15.946	2885.91	4351.92	1
9	16	9.044	15.967	2330.75	4358.04	1
21	16	21.011	15.979	5798.19	4361.53	1
17	16	17.008	15.985	4638.32	4363.28	1
16	16	16.034	15.978	4356.1	4361.24	1
24	16	24.216	16.018	6726.84	4372.89	1
18	16	18.016	16.002	4930.39	4368.23	1
12	16	12.113	16.026	3219.99	4375.22	1
19	16	19.047	16.013	5229.12	4371.43	1
13	16	13.134	16.029	3515.83	4376.09	1
10	16	9.93	16.022	2587.47	4374.05	1
23	16	23.152	16.03	6418.54	4376.38	1
15	16	15.062	16.035	4074.46	4377.84	1
14	16	14.061	16.062	3784.42	4385.7	1
25	17	25.078	16.978	6976.6	4652.42	1
17	17	17.011	16.986	4639.19	4654.75	1
23	17	23.194	17	6430.71	4658.82	1
12	17	12.119	17.016	3221.73	4663.48	1
9	17	9.007	17.027	2320.03	4666.69	1
20	17	20.105	17.024	5535.67	4665.81	1
11	17	10.948	17.029	2882.43	4667.27	1
14	17	14.018	17.037	3771.97	4669.6	1
24	17	24.226	17.034	6729.73	4668.72	1
22	17	22.035	17.035	6094.89	4669.01	1
18	17	18.028	17.058	4933.86	4675.71	1
19	17	19.059	17.062	5232.6	4676.88	1
21	17	20.994	17.068	5793.26	4678.62	1
10	17	9.966	17.09	2597.9	4685.03	1
13	17	13.149	17.102	3520.17	4688.52	1
16	17	16.053	17.107	4361.61	4689.98	1
15	17	15.066	17.141	4075.62	4699.88	1
18	18	18.068	17.968	4945.45	4940.68	1
