x	y	new_x	new_y	pixel_x	pixel_y	selected
7	6	6.932	6.068	1721.02	1476.58	1
8	6	7.86	6.109	1990.26	1488.52	1
7	7	6.91	7.056	1714.64	1764.43	1
9	7	8.988	7.085	2317.52	1772.88	1
10	8	9.891	7.998	2579.5	2038.89	1
6	8	5.886	8.038	1417.55	2050.54	1
9	8	8.959	8.039	2309.1	2050.83	1
8	8	7.902	8.051	2002.44	2054.33	1
7	8	6.92	8.053	1717.54	2054.91	1
10	9	9.852	8.98	2568.19	2325	1
11	9	10.845	9.016	2856.28	2335.49	1
7	9	6.891	9.06	1709.13	2348.3	1
8	9	7.932	9.079	2011.15	2353.84	1
9	9	8.994	9.094	2319.26	2358.21	1
6	9	5.814	9.133	1396.66	2369.57	1
12	9	12.053	9.147	3206.75	2373.65	1
11	10	10.911	10.056	2875.43	2638.49	1
6	10	5.855	10.072	1408.56	2643.15	1
5	10	4.846	10.061	1115.82	2639.95	1
12	10	12.071	10.076	3211.97	2644.32	1
7	10	6.955	10.079	1727.69	2645.19	1
13	10	13.02	10.08	3487.3	2645.48	1
8	10	7.88	10.095	1996.06	2649.86	1
9	10	8.985	10.105	2316.65	2652.77	1
10	10	9.902	10.104	2582.69	2652.48	1
11	11	10.851	11.038	2858.02	2924.6	1
14	11	13.977	11.063	3764.95	2931.88	1
12	11	12.064	11.078	3209.94	2936.25	1
10	11	9.891	11.091	2579.5	2940.04	1
13	11	13.041	11.088	3493.4	2939.17	1
9	11	8.986	11.1	2316.94	2942.66	1
7	11	6.929	11.102	1720.15	2943.25	1
6	11	5.953	11.105	1436.99	2944.12	1
8	11	7.905	11.135	2003.31	2952.86	1
5	11	4.93	11.145	1140.19	2955.78	1
11	12	10.834	11.998	2853.09	3204.3	1
10	12	9.907	12.005	2584.14	3206.34	1
7	12	6.919	12.024	1717.25	3211.87	1
9	12	8.963	12.039	2310.27	3216.25	1
6	12	5.844	12.041	1405.37	3216.83	1
8	12	7.958	12.042	2018.69	3217.12	1
16	12	15.942	12.049	4335.05	3219.16	1
5	12	4.954	12.059	1147.15	3222.07	1
12	12	12.066	12.07	3210.52	3225.28	1
4	12	3.982	12.07	865.15	3225.28	1
14	12	14.008	12.075	3773.95	3226.73	1
13	12	13.02	12.084	3487.3	3229.36	1
11	13	10.88	13.006	2866.44	3497.98	1
6	13	5.89	13.038	1418.71	3507.31	1
9	13	8.975	13.047	2313.75	3509.93	1
15	13	15.069	13.046	4081.77	3509.64	1
5	13	4.888	13.051	1128.01	3511.09	1
8	13	7.944	13.048	2014.63	3510.22	1
17	13	16.938	13.049	4624.01	3510.51	1
16	13	15.915	13.053	4327.21	3511.68	1
4	13	3.956	13.06	857.61	3513.72	1
7	13	6.831	13.067	1691.72	3515.76	1
10	13	9.916	13.067	2586.75	3515.76	1
12	13	12.052	13.095	3206.46	3523.91	1
13	13	13.05	13.086	3496.01	3521.29	1
14	13	13.953	13.096	3757.99	3524.21	1
11	14	10.872	13.984	2864.11	3782.93	1
6	14	5.894	14.03	1419.87	3796.33	1
7	14	6.902	14.062	1712.32	3805.65	1
18	14	17.984	14.048	4927.48	3801.57	1
4	14	4.011	14.06	873.57	3805.07	1
16	14	15.97	14.065	4343.17	3806.53	1
15	14	14.991	14.085	4059.14	3812.35	1
5	14	4.832	14.081	1111.76	3811.19	1
10	14	9.887	14.092	2578.34	3814.39	1
8	14	7.892	14.105	1999.54	3818.18	1
12	14	12.085	14.15	3216.04	3831.29	1
14	14	14.055	14.187	3787.58	3842.07	1
13	14	12.993	14.191	3479.47	3843.24	1
17	14	16.979	14.279	4635.91	3868.88	1
10	15	9.882	15.086	2576.89	4104	1
11	15	10.877	15.035	2865.56	4089.14	1
17	15	16.95	15.038	4627.49	4090.01	1
8	15	7.937	15.054	2012.6	4094.67	1
12	15	12.071	15.065	3211.97	4097.88	1
4	15	3.95	15.059	855.87	4096.13	1
15	15	15.005	15.07	4063.2	4099.34	1
13	15	13.03	15.064	3490.2	4097.59	1
6	15	5.886	15.072	1417.55	4099.92	1
7	15	6.958	15.069	1728.56	4099.04	1
5	15	4.889	15.076	1128.3	4101.08	1
9	15	9.001	15.086	2321.29	4104	1
14	15	13.998	15.094	3771.04	4106.33	1
18	15	18.01	15.111	4935.03	4111.28	1
16	15	15.962	15.113	4340.85	4111.86	1
11	16	10.854	16.008	2858.89	4372.62	1
18	16	17.977	16.013	4925.45	4374.08	1
6	16	5.897	16.037	1420.74	4381.07	1
10	16	9.906	16.055	2583.85	4386.32	1
7	16	6.917	16.045	1716.67	4383.41	1
15	16	15.028	16.053	4069.87	4385.74	1
5	16	4.889	16.055	1128.3	4386.32	1
8	16	7.92	16.053	2007.66	4385.74	1
16	16	15.953	16.051	4338.24	4385.15	1
17	16	16.918	16.058	4618.21	4387.19	1
12	16	12.071	16.081	3211.97	4393.89	1
20	16	19.986	16.069	5508.31	4390.4	1
4	16	3.955	16.067	857.32	4389.81	1
14	16	13.978	16.078	3765.24	4393.02	1
13	16	13.039	16.095	3492.81	4397.97	1
11	17	10.893	17.008	2870.21	4663.98	1
6	17	5.863	17.056	1410.88	4677.96	1
17	17	16.929	17.035	4621.4	4671.84	1
12	17	12.05	17.06	3205.88	4679.13	1
5	17	4.894	17.058	1129.75	4678.55	1
4	17	3.967	17.073	860.8	4682.92	1
10	17	9.868	17.087	2572.83	4686.99	1
9	17	8.982	17.1	2315.78	4690.78	1
14	17	13.956	17.116	3758.86	4695.44	1
7	17	6.905	17.145	1713.19	4703.89	1
15	17	15.037	17.148	4072.48	4704.77	1
19	17	18.935	17.15	5203.39	4705.35	1
13	17	13.066	17.162	3500.65	4708.85	1
8	17	7.918	17.177	2007.08	4713.22	1
23	17	23.154	17.19	6427.43	4717	1
16	17	15.929	17.17	4331.28	4711.18	1
11	18	10.877	18.003	2865.56	4953.87	1
22	18	21.875	18.023	6056.36	4959.7	1
