x	y	new_x	new_y	pixel_x	pixel_y	selected
9	13	8.965	12.994	2307.86	3500.48	1
8	13	7.867	13.013	1989.71	3506.03	1
11	14	10.862	13.984	2857.51	3789.42	1
10	14	9.818	13.993	2555.02	3792.05	1
7	14	6.885	14.078	1705.18	3816.85	1
9	14	9.039	14.073	2329.3	3815.39	1
8	14	7.853	14.098	1985.66	3822.69	1
12	14	12.05	14.144	3201.74	3836.12	1
11	15	10.866	14.991	2858.67	4083.31	1
10	15	9.844	15.017	2562.55	4090.9	1
8	15	7.872	15.022	1991.16	4092.36	1
7	15	6.87	15.046	1700.83	4099.37	1
9	15	8.935	15.064	2299.17	4104.62	1
13	15	12.971	15.084	3468.6	4110.46	1
12	15	12.057	15.085	3203.77	4110.75	1
14	15	14.004	15.116	3767.91	4119.8	1
10	16	9.833	15.973	2559.36	4369.91	1
11	16	10.847	16.023	2853.17	4384.51	1
8	16	7.896	16.036	1998.12	4388.3	1
7	16	6.886	16.045	1705.47	4390.93	1
9	16	8.963	16.056	2307.28	4394.14	1
15	16	14.956	16.054	4043.75	4393.55	1
13	16	13.019	16.074	3482.51	4399.39	1
14	16	13.975	16.069	3759.51	4397.93	1
12	16	12.01	16.092	3190.15	4404.64	1
16	17	15.943	16.975	4329.73	4662.35	1
10	17	9.867	16.997	2569.21	4668.77	1
11	17	10.862	17.015	2857.51	4674.02	1
6	17	5.836	17.034	1401.23	4679.57	1
15	17	14.989	17.035	4053.31	4679.86	1
8	17	7.904	17.051	2000.43	4684.53	1
17	17	16.95	17.05	4621.51	4684.24	1
12	17	12.028	17.069	3195.36	4689.78	1
14	17	13.974	17.06	3759.22	4687.16	1
13	17	13.006	17.065	3478.74	4688.62	1
9	17	8.971	17.071	2309.6	4690.37	1
7	17	6.891	17.099	1706.92	4698.54	1
18	17	17.897	17.1	4895.91	4698.83	1
11	18	10.847	18.015	2853.17	4965.88	1
19	18	18.947	18.029	5200.14	4969.96	1
15	18	15.016	18.044	4061.14	4974.34	1
17	18	16.907	18.055	4609.05	4977.55	1
6	18	5.863	18.05	1409.05	4976.09	1
14	18	13.95	18.049	3752.26	4975.8	1
18	18	17.946	18.062	4910.1	4979.59	1
7	18	6.916	18.059	1714.16	4978.72	1
16	18	15.924	18.059	4324.23	4978.72	1
10	18	9.87	18.075	2570.08	4983.39	1
12	18	12.051	18.102	3202.03	4991.27	1
8	18	7.926	18.102	2006.81	4991.27	1
9	18	8.961	18.122	2306.7	4997.11	1
13	18	12.972	18.113	3468.89	4994.48	1
15	19	14.997	18.962	4055.63	5242.26	1
21	19	20.934	19.012	5775.88	5256.86	1
17	19	16.913	19.017	4610.79	5258.31	1
18	19	17.926	19.028	4904.31	5261.52	1
19	19	18.95	19.031	5201.01	5262.4	1
16	19	15.954	19.037	4332.92	5264.15	1
11	19	10.83	19.079	2848.24	5276.41	1
12	19	12.045	19.081	3200.29	5276.99	1
13	19	13.025	19.094	3484.24	5280.79	1
14	19	13.909	19.083	3740.38	5277.58	1
9	19	8.966	19.096	2308.15	5281.37	1
10	19	9.885	19.1	2574.43	5282.54	1
7	19	6.917	19.114	1714.45	5286.62	1
8	19	7.867	19.113	1989.71	5286.33	1
6	19	5.862	19.127	1408.76	5290.42	1
19	20	18.937	20.016	5197.25	5549.88	1
15	20	14.962	20.029	4045.49	5553.67	1
20	20	20.031	20.048	5514.23	5559.21	1
11	20	10.827	20.043	2847.37	5557.76	1
14	20	13.996	20.051	3765.59	5560.09	1
17	20	16.922	20.049	4613.4	5559.51	1
18	20	17.961	20.053	4914.45	5560.67	1
9	20	8.964	20.065	2307.57	5564.18	1
12	20	12.056	20.072	3203.48	5566.22	1
8	20	7.898	20.048	1998.7	5559.21	1
13	20	12.983	20.066	3472.07	5564.47	1
16	20	15.956	20.062	4333.5	5563.3	1
23	20	23.107	20.076	6405.5	5567.39	1
10	20	9.885	20.079	2574.43	5568.26	1
6	20	5.873	20.077	1411.95	5567.68	1
7	20	6.893	20.075	1707.5	5567.09	1
16	21	15.966	20.993	4336.4	5835.02	1
10	21	9.862	20.968	2567.76	5827.72	1
11	21	10.857	20.989	2856.07	5833.85	1
6	21	5.886	21.007	1415.72	5839.1	1
8	21	7.85	21.004	1984.79	5838.23	1
9	21	8.967	21.016	2308.44	5841.73	1
7	21	6.921	21.02	1715.61	5842.9	1
19	21	18.962	21.032	5204.49	5846.4	1
13	21	13.039	21.064	3488.3	5855.74	1
17	21	16.927	21.047	4614.85	5850.78	1
18	21	17.945	21.043	4909.81	5849.61	1
24	21	24.108	21.056	6695.54	5853.4	1
21	21	20.982	21.066	5789.78	5856.32	1
