x	y	new_x	new_y	pixel_x	pixel_y	selected
7	11	6.947	11.1	1720.91	2944.45	1
6	11	5.834	11.182	1398.84	2968.35	1
9	12	9.055	12.016	2330.92	3211.49	1
7	12	6.908	12.028	1709.63	3214.99	1
8	12	7.9	12.023	1996.69	3213.53	1
6	12	5.883	12.042	1413.02	3219.07	1
10	13	9.892	12.984	2573.12	3493.69	1
9	13	8.989	13.01	2311.82	3501.27	1
8	13	7.939	13.018	2007.97	3503.6	1
7	13	6.888	13.099	1703.84	3527.21	1
6	13	5.897	13.111	1417.07	3530.71	1
11	14	10.888	13.95	2861.34	3775.31	1
6	14	5.835	13.996	1399.13	3788.72	1
10	14	9.846	14.001	2559.81	3790.17	1
5	14	4.929	14.039	1136.95	3801.25	1
7	14	6.925	14.054	1714.55	3805.62	1
9	14	9.012	14.074	2318.47	3811.46	1
8	14	7.895	14.096	1995.24	3817.87	1
12	14	12.066	14.119	3202.22	3824.57	1
10	15	9.896	14.978	2574.28	4075	1
11	15	10.928	14.998	2872.92	4080.83	1
8	15	7.923	15.014	2003.34	4085.49	1
9	15	8.971	15.006	2306.61	4083.16	1
5	15	4.901	15.036	1128.85	4091.91	1
13	15	13.04	15.058	3484.07	4098.32	1
12	15	12.06	15.079	3200.49	4104.44	1
7	15	6.938	15.108	1718.31	4112.9	1
6	15	5.828	15.121	1397.1	4116.69	1
11	16	10.882	15.974	2859.6	4365.36	1
10	16	9.901	16.001	2575.73	4373.23	1
4	16	3.928	16.016	847.29	4377.61	1
8	16	7.919	16.029	2002.19	4381.4	1
9	16	9.007	16.032	2317.03	4382.27	1
7	16	6.914	16.036	1711.36	4383.44	1
12	16	12.036	16.052	3193.54	4388.1	1
5	16	4.879	16.047	1122.49	4386.64	1
6	16	5.864	16.062	1407.52	4391.02	1
13	16	13.07	16.087	3492.76	4398.3	1
11	17	10.875	16.955	2857.58	4651.35	1
10	17	9.946	16.999	2588.75	4664.18	1
4	17	3.941	17.061	851.05	4682.25	1
15	17	14.995	17.066	4049.8	4683.71	1
14	17	14.019	17.074	3767.37	4686.04	1
13	17	13.063	17.076	3490.73	4686.63	1
9	17	9.007	17.086	2317.03	4689.54	1
7	17	6.925	17.104	1714.55	4694.79	1
12	17	12.076	17.122	3205.12	4700.04	1
6	17	5.904	17.122	1419.1	4700.04	1
8	17	7.883	17.14	1991.77	4705.28	1
5	17	4.87	17.163	1119.88	4711.99	1
11	18	10.877	17.997	2858.16	4955.13	1
10	18	9.908	18.007	2577.75	4958.04	1
9	18	8.975	18.037	2307.77	4966.79	1
4	18	3.979	18.036	862.05	4966.5	1
8	18	7.928	18.034	2004.79	4965.91	1
7	18	6.949	18.042	1721.49	4968.24	1
5	18	4.891	18.047	1125.96	4969.7	1
16	18	15.968	18.059	4331.36	4973.2	1
15	18	15.061	18.063	4068.9	4974.37	1
6	18	5.858	18.072	1405.78	4976.99	1
12	18	12.116	18.08	3216.69	4979.32	1
13	18	13.049	18.081	3486.68	4979.61	1
